--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
83288;20/02/1970;1200;81.2;;19.4;;;;;
83288;21/02/1970;0000;;30.5;;5.5;0.9;80.5;0.333333;
83288;21/02/1970;1200;30.5;;20;;;;;
83288;22/02/1970;0000;;31.4;;10.1;2.3;72.5;1;
83288;22/02/1970;1200;0;;20.9;;;;;
83288;23/02/1970;0000;;32;;11;3.5;71;1;
83288;23/02/1970;1200;0;;19.2;;;;;
83288;24/02/1970;0000;;30.7;;7.7;4.5;75.25;0.333333;
83288;24/02/1970;1200;0;;19;;;;;
83288;25/02/1970;0000;;30.2;;9.5;3.5;72.5;1.666667;
83288;25/02/1970;1200;0;;20.5;;;;;
83288;26/02/1970;0000;;30.3;;9.9;3.4;78.25;1;
83288;26/02/1970;1200;0;;19.6;;;;;
83288;27/02/1970;0000;;29.9;;3.8;3.6;80.75;2.666667;
83288;27/02/1970;1200;0.8;;20.2;;;;;
83288;28/02/1970;0000;;27.5;;0.7;2.5;88.5;1.666667;
83288;28/02/1970;1200;15.5;;20.2;;;;;
83288;01/03/1970;0000;;27.4;;3.2;1.2;89.75;2.333333;
83288;01/03/1970;1200;21.4;;20.2;;;;;
83288;02/03/1970;0000;;28.7;;8.6;1.8;78;0.333333;
83288;02/03/1970;1200;10.9;;20.4;;;;;
83288;03/03/1970;0000;;28.7;;7.6;3;82.25;1.333333;
83288;03/03/1970;1200;0;;19.6;;;;;
83288;04/03/1970;0000;;29;;6.9;2.9;84.25;2;
83288;04/03/1970;1200;13.5;;20.1;;;;;
83288;05/03/1970;0000;;27.4;;2.9;2.2;84.75;0.333333;
83288;05/03/1970;1200;15.8;;20.8;;;;;
83288;06/03/1970;0000;;31.2;;9.1;2.8;78.75;1;
83288;06/03/1970;1200;0;;20.2;;;;;
83288;07/03/1970;0000;;30.2;;7.1;1.2;86;2;
83288;07/03/1970;1200;0;;20.4;;;;;
83288;08/03/1970;0000;;29.3;;4.2;2.3;84;1;
83288;08/03/1970;1200;7.3;;20.2;;;;;
83288;09/03/1970;0000;;30.5;;6.8;1.7;85;0.666667;
83288;09/03/1970;1200;0.9;;20;;;;;
83288;10/03/1970;0000;;32.5;;11.2;1.9;72.75;0;
83288;10/03/1970;1200;0;;20.1;;;;;
83288;11/03/1970;0000;;31.6;;11.3;3.5;65.5;2;
83288;11/03/1970;1200;0;;19.9;;;;;
83288;12/03/1970;0000;;32.1;;10.2;3.8;72;0.333333;
83288;12/03/1970;1200;0;;18.3;;;;;
83288;13/03/1970;0000;;31.2;;11.1;3.1;72.25;0;
83288;13/03/1970;1200;0;;17.6;;;;;
83288;14/03/1970;0000;;31.4;;11.6;4.8;68.5;0.333333;
83288;14/03/1970;1200;0;;19;;;;;
83288;15/03/1970;0000;;31.8;;10.7;4.6;72.75;0.333333;
83288;15/03/1970;1200;0;;18;;;;;
83288;16/03/1970;0000;;31;;11.1;3;69.75;0.666667;
83288;16/03/1970;1200;0;;18.2;;;;;
83288;17/03/1970;0000;;32.5;;11;4.1;69.5;0.333333;
83288;17/03/1970;1200;0;;19;;;;;
83288;18/03/1970;0000;;32.9;;8.5;3.6;73.5;0;
83288;18/03/1970;1200;0;;18.5;;;;;
83288;19/03/1970;0000;;30.4;;11.2;3.3;68;1.333333;
83288;19/03/1970;1200;0;;17.7;;;;;
83288;20/03/1970;0000;;30.8;;9.9;4.7;67.25;0.666667;
83288;20/03/1970;1200;0;;18.8;;;;;
83288;21/03/1970;0000;;30.4;;11;4.1;60;1.333333;
83288;21/03/1970;1200;0;;16.3;;;;;
83288;22/03/1970;0000;;30;;9.6;4.4;69.75;0.333333;
83288;22/03/1970;1200;0;;15.8;;;;;
83288;23/03/1970;0000;;32.4;;10.9;4.2;66.25;0;
83288;23/03/1970;1200;0;;16.4;;;;;
83288;24/03/1970;0000;;32.5;;11.1;4.4;67.5;0;
83288;24/03/1970;1200;0;;18.9;;;;;
83288;25/03/1970;0000;;32.4;;11.1;3.9;66.75;1;
83288;25/03/1970;1200;0;;20.2;;;;;
83288;26/03/1970;0000;;31.4;;10.5;4;62.5;0.666667;
83288;26/03/1970;1200;0;;17.8;;;;;
83288;27/03/1970;0000;;32.3;;10.7;3.9;67.75;0.333333;
83288;27/03/1970;1200;0;;16.6;;;;;
83288;28/03/1970;0000;;30.9;;11.2;3.4;67.75;0.333333;
83288;28/03/1970;1200;0;;18.1;;;;;
83288;29/03/1970;0000;;31.1;;10.6;3.8;69.25;0.666667;
83288;29/03/1970;1200;0;;18.2;;;;;
83288;30/03/1970;0000;;31.2;;11.3;3.9;71.5;0.666667;
83288;30/03/1970;1200;0;;17;;;;;
83288;31/03/1970;0000;;32.8;;11.2;3.5;66.5;1;
83288;31/03/1970;1200;0;;18.2;;;;;
83288;01/04/1970;0000;;32.8;;11.1;3.9;65;1.333333;
83288;01/04/1970;1200;0;;18.3;;;;;
83288;02/04/1970;0000;;32.3;;10.7;3.7;63;0;
83288;02/04/1970;1200;0;;18.3;;;;;
83288;03/04/1970;0000;;32.6;;11.2;3.9;63;0.666667;
83288;03/04/1970;1200;0;;18.4;;;;;
83288;04/04/1970;0000;;33.3;;11.2;4.2;65.5;1;
83288;04/04/1970;1200;0;;18.9;;;;;
