--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
82976;18/01/1976;0000;;33.4;;10.5;10.8;52;2.966667;
82976;18/01/1976;1200;0;;;;;;;
82976;19/01/1976;0000;;33.6;;6.6;9.5;69.25;2.966667;
82976;19/01/1976;1200;0;;;;;;;
82976;20/01/1976;0000;;31.2;;5.2;7.8;77;2;
82976;20/01/1976;1200;10.1;;;;;;;
82976;21/01/1976;0000;;31.8;;5.9;4.6;60.75;2.7;
82976;21/01/1976;1200;0;;;;;;;
82976;22/01/1976;0000;;34.8;;9.2;11.8;52.75;2.966667;
82976;22/01/1976;1200;0;;;;;;;
82976;23/01/1976;0000;;31.2;;1;10.5;64.75;1.533333;
82976;23/01/1976;1200;0.4;;;;;;;
82976;24/01/1976;0000;;32.8;;7.4;6;55.75;2.966667;
82976;24/01/1976;1200;0;;;;;;;
82976;25/01/1976;0000;;31;;3;8;70;2.133333;
82976;25/01/1976;1200;0.6;;;;;;;
82976;26/01/1976;0000;;33;;6.4;5;58.75;2.633333;
82976;26/01/1976;1200;0;;;;;;;
82976;27/01/1976;0000;;30.6;;6.8;6;78.25;2.033333;
82976;27/01/1976;1200;3.5;;;;;;;
82976;28/01/1976;0000;;33;;6.4;3.8;64.75;2.233333;
82976;28/01/1976;1200;0;;;;;;;
82976;29/01/1976;0000;;31.2;;9.5;5.5;74.5;2.8;
82976;29/01/1976;1200;0;;;;;;;
82976;30/01/1976;0000;;31.8;;10.4;6.2;63.25;2.033333;
82976;30/01/1976;1200;9.6;;;;;;;
82976;31/01/1976;0000;;31.2;;9.4;6.8;57.5;1.9;
82976;31/01/1976;1200;0;;;;;;;
82976;01/02/1976;0000;;25;;1;6.7;91;1.733333;
82976;01/02/1976;1200;2.8;;;;;;;
82976;02/02/1976;0000;;29.4;;8.2;0.8;74.5;2.366667;
82976;02/02/1976;1200;5.4;;;;;;;
82976;03/02/1976;0000;;25;;1.7;4.4;87.5;1.633333;
82976;03/02/1976;1200;0;;;;;;;
82976;04/02/1976;0000;;29.6;;5.3;1.8;86.5;1.966667;
82976;04/02/1976;1200;3.5;;;;;;;
82976;05/02/1976;0000;;27.2;;2.7;2.2;91.5;1.266667;
82976;05/02/1976;1200;1.6;;;;;;;
82976;06/02/1976;0000;;28;;3.6;1.3;84;1.533333;
82976;06/02/1976;1200;9.2;;;;;;;
82976;07/02/1976;0000;;31.2;;10.4;6.4;72.25;1.333333;
82976;07/02/1976;1200;3;;;;;;;
82976;08/02/1976;0000;;31.7;;11.8;1.5;70.5;2.2;
82976;08/02/1976;1200;0;;;;;;;
82976;09/02/1976;0000;;31.2;;11.2;6.2;66.5;2;
82976;09/02/1976;1200;0;;;;;;;
82976;10/02/1976;0000;;33.4;;10.5;4.6;65.25;1.533333;
82976;10/02/1976;1200;0;;;;;;;
82976;11/02/1976;0000;;22.2;;0;5.7;95.75;0.966667;
82976;11/02/1976;1200;13;;;;;;;
82976;12/02/1976;0000;;28.4;;2.6;0.7;91;1.2;
82976;12/02/1976;1200;4.6;;;;;;;
82976;13/02/1976;0000;;25.6;;1.5;1.2;94.25;1.033333;
82976;13/02/1976;1200;13.9;;;;;;;
82976;14/02/1976;0000;;28.8;;3.8;0.9;82.75;1.766667;
82976;14/02/1976;1200;15.2;;;;;;;
82976;15/02/1976;0000;;28.5;;4.8;2.7;87;1.466667;
82976;15/02/1976;1200;2.7;;;;;;;
82976;16/02/1976;0000;;27.4;;3.6;2.4;90.25;0.866667;
82976;16/02/1976;1200;21.8;;;;;;;
82976;17/02/1976;0000;;28.6;;6.9;1.1;88;1.366667;
82976;17/02/1976;1200;1;;;;;;;
82976;18/02/1976;0000;;29.8;;9.1;3.4;80.25;2.533333;
82976;18/02/1976;1200;0;;;;;;;
82976;19/02/1976;0000;;30.4;;11.9;3.6;79.75;1.466667;
82976;19/02/1976;1200;0;;;;;;;
82976;20/02/1976;0000;;30.8;;11.9;7.5;75.5;2.533333;
82976;20/02/1976;1200;0;;;;;;;
82976;21/02/1976;0000;;30.2;;10.8;2.2;75.5;1.866667;
82976;21/02/1976;1200;0;;;;;;;
82976;22/02/1976;0000;;29.8;;10.4;4.3;70.5;2.733333;
82976;22/02/1976;1200;0;;;;;;;
82976;23/02/1976;0000;;29.6;;6.4;5.9;78.25;1.533333;
82976;23/02/1976;1200;0;;;;;;;
82976;24/02/1976;0000;;30.4;;7;3.6;73;1.766667;
82976;24/02/1976;1200;0;;;;;;;
82976;25/02/1976;0000;;29.4;;8.8;3.8;74.75;2.2;
82976;25/02/1976;1200;0;;;;;;;
82976;26/02/1976;0000;;29.2;;5;5.5;77.5;2.7;
82976;26/02/1976;1200;0;;;;;;;
82976;27/02/1976;0000;;30;;7.3;4.8;72.25;2.533333;
82976;27/02/1976;1200;0;;;;;;;
82976;28/02/1976;0000;;30.8;;8.7;5.8;73;3.633333;
82976;28/02/1976;1200;0;;;;;;;
82976;29/02/1976;0000;;30.3;;5.2;6.4;68.25;1.5;
82976;29/02/1976;1200;1.8;;;;;;;
82976;01/03/1976;0000;;32;;11.2;4.5;69.5;2.666667;
82976;01/03/1976;1200;0;;;;;;;
82976;02/03/1976;0000;;32;;10.9;7.2;69.25;1.7;
82976;02/03/1976;1200;0;;;;;;;
82976;03/03/1976;0000;;31.6;;10.4;6.7;58.25;2.966667;
82976;03/03/1976;1200;0;;;;;;;
82976;04/03/1976;0000;;30.8;;9.1;7.1;64;2.533333;
82976;04/03/1976;1200;0;;;;;;;
82976;05/03/1976;0000;;29.4;;5.1;7.5;69.75;3.2;
82976;05/03/1976;1200;0;;;;;;;
82976;06/03/1976;0000;;29.6;;5.3;6;71;2.333333;
82976;06/03/1976;1200;0;;;;;;;
82976;07/03/1976;0000;;29.8;;6.7;5;70.25;3.433333;
82976;07/03/1976;1200;0;;;;;;;
82976;08/03/1976;0000;;25;;0;5.1;90;2.466667;
82976;08/03/1976;1200;1.5;;;;;;;
82976;09/03/1976;0000;;31.2;;9.1;2.4;70;2.833333;
82976;09/03/1976;1200;0;;;;;;;
82976;10/03/1976;0000;;32.4;;11.1;6.8;67;2.333333;
82976;10/03/1976;1200;0;;;;;;;
82976;11/03/1976;0000;;32.4;;10.7;8.7;61;2.833333;
82976;11/03/1976;1200;0;;;;;;;
82976;12/03/1976;0000;;32.2;;8.8;7;65.5;2.7;
82976;12/03/1976;1200;4.7;;;;;;;
82976;13/03/1976;0000;;31.8;;7;7.2;65.25;2.466667;
82976;13/03/1976;1200;0;;;;;;;
82976;14/03/1976;0000;;31.4;;4.3;6.6;68;2.533333;
82976;14/03/1976;1200;0;;;;;;;
82976;15/03/1976;0000;;33.8;;9.6;6.6;61.25;2.633333;
82976;15/03/1976;1200;0;;;;;;;
82976;16/03/1976;0000;;33.4;;10.7;8.8;56;2.466667;
82976;16/03/1976;1200;0;;;;;;;
82976;17/03/1976;0000;;33.2;;10.4;9.7;56.25;2.9;
82976;17/03/1976;1200;0;;;;;;;
82976;18/03/1976;0000;;33.4;;10;8.6;60;2.966667;
82976;18/03/1976;1200;0;;;;;;;
82976;19/03/1976;0000;;33.8;;10.5;8.5;61.75;3;
82976;19/03/1976;1200;0;;;;;;;
82976;20/03/1976;0000;;33.8;;10.5;8.8;56.75;1.933333;
82976;20/03/1976;1200;0;;;;;;;
82976;21/03/1976;0000;;33.4;;8.8;7.4;66.5;1.4;
82976;21/03/1976;1200;2;;;;;;;
82976;22/03/1976;0000;;33.6;;10.7;7.3;52.5;3.366667;
82976;22/03/1976;1200;0;;;;;;;
82976;23/03/1976;0000;;32.8;;9.5;9.7;52.75;3.1;
82976;23/03/1976;1200;0;;;;;;;
82976;24/03/1976;0000;;33.6;;10.9;8.7;52;2.5;
82976;24/03/1976;1200;0;;;;;;;
82976;25/03/1976;0000;;33.6;;8.9;9.1;54.5;3.7;
82976;25/03/1976;1200;0;;;;;;;
82976;26/03/1976;0000;;31.6;;6;8.3;78.75;2.2;
82976;26/03/1976;1200;4.6;;;;;;;
82976;27/03/1976;0000;;31;;6.1;4.4;81;1.7;
82976;27/03/1976;1200;39;;;;;;;
82976;28/03/1976;0000;;31.2;;8.2;3;70.25;1.466667;
82976;28/03/1976;1200;2.7;;20.9;;;;;
82976;29/03/1976;0000;;30.7;;8.7;4.1;70.25;1;
82976;29/03/1976;1200;0;;;;;;;
82976;30/03/1976;0000;;31.2;;6.8;4.1;73.25;2;
82976;30/03/1976;1200;0.3;;;;;;;
82976;31/03/1976;0000;;30.6;;5.4;4.9;69;1.9;
82976;31/03/1976;1200;0;;;;;;;
82976;01/04/1976;0000;;31.4;;5.9;6.6;80.75;2.9;
82976;01/04/1976;1200;0;;;;;;;
82976;02/04/1976;0000;;32;;7.1;6;67;3.033333;
82976;02/04/1976;1200;1.8;;;;;;;
82976;03/04/1976;0000;;29.6;;2;6;74.5;2.466667;
82976;03/04/1976;1200;0;;;;;;;
82976;04/04/1976;0000;;32;;7.3;4.7;67.5;3.3;
82976;04/04/1976;1200;0;;;;;;;
82976;05/04/1976;0000;;29.4;;1.1;6.4;77.5;0.766667;
82976;05/04/1976;1200;0;;;;;;;
82976;06/04/1976;0000;;32.6;;10.2;4.4;61.75;3.5;
82976;06/04/1976;1200;0.7;;;;;;;
82976;07/04/1976;0000;;33;;10.1;6.9;64.75;2.3;
82976;07/04/1976;1200;0;;;;;;;
82976;08/04/1976;0000;;34.2;;11;6.8;55.25;3.233333;
82976;08/04/1976;1200;0;;;;;;;
82976;09/04/1976;0000;;33;;8.7;9.6;59.5;2.466667;
82976;09/04/1976;1200;0;;;;;;;
82976;10/04/1976;0000;;34.4;;9.1;6.5;65.5;2.466667;
82976;10/04/1976;1200;0;;;;;;;
82976;11/04/1976;0000;;34.2;;8.8;3.8;65;1.9;
82976;11/04/1976;1200;0;;;;;;;
82976;12/04/1976;0000;;29.6;;7.3;8.4;80.75;1.766667;
82976;12/04/1976;1200;72.4;;;;;;;
82976;13/04/1976;0000;;30.6;;10;3.6;73;1.866667;
82976;13/04/1976;1200;0;;;;;;;
82976;14/04/1976;0000;;30.8;;10.5;5.2;71.5;2.566667;
82976;14/04/1976;1200;0.1;;;;;;;
82976;15/04/1976;0000;;28.2;;2;4.9;80;1.9;
82976;15/04/1976;1200;0.8;;;;;;;
82976;16/04/1976;0000;;31.4;;11;3.9;65.5;2.1;
82976;16/04/1976;1200;0;;;;;;;
82976;17/04/1976;0000;;31;;10.4;6.7;70.5;1.733333;
82976;17/04/1976;1200;0;;;;;;;
82976;18/04/1976;0000;;31;;5.7;6.5;75.25;1.733333;
82976;18/04/1976;1200;0;;;;;;;
82976;19/04/1976;0000;;31.4;;11.3;4.7;67;1.733333;
82976;19/04/1976;1200;0;;;;;;;
82976;20/04/1976;0000;;31.9;;10.4;6.9;61;2.333333;
82976;20/04/1976;1200;0;;;;;;;
82976;21/04/1976;0000;;31.4;;10.8;6.8;67.5;2.166667;
82976;21/04/1976;1200;0;;;;;;;
82976;22/04/1976;0000;;32.6;;11.4;5.6;63.5;2.133333;
82976;22/04/1976;1200;0;;;;;;;
82976;23/04/1976;0000;;32.2;;9.7;5.3;65.25;2.366667;
82976;23/04/1976;1200;0;;;;;;;
82976;24/04/1976;0000;;30;;8.7;6.4;82.5;1.6;
82976;24/04/1976;1200;20.7;;;;;;;
82976;25/04/1976;0000;;31.2;;8.8;2.6;76.25;2.2;
82976;25/04/1976;1200;0;;;;;;;
82976;26/04/1976;0000;;31.8;;11.2;6.6;67;2.3;
82976;26/04/1976;1200;0;;;;;;;
82976;27/04/1976;0000;;31.8;;10.9;5.8;65.25;1.466667;
82976;27/04/1976;1200;0;;;;;;;
82976;28/04/1976;0000;;31.8;;10.7;6;58.25;2.1;
82976;28/04/1976;1200;0;;;;;;;
82976;29/04/1976;0000;;32.4;;11.2;6.3;62.5;2.133333;
82976;29/04/1976;1200;0;;;;;;;
82976;30/04/1976;0000;;32;;10.7;7.9;63.5;1.833333;
82976;30/04/1976;1200;0;;;;;;;
